name,category,nbs_types,experimental,coverage,access_method,probe_result,layer_name,notes,error
OS Zoomstack Railways,constraint,all,False,gb,local_file,ok,"LineString | 115,483 features | EPSG:unknown","Same Zoomstack download as Roads / Waterlines. Single 'rail' layer (115,483 LineStrings, EPSG:27700). 'type' field has values such as 'Narrow Gauge'. Phase 1.5 TODO: OS Data Hub Features API.",
Source Protection Zones (No Infiltration Area),constraint,all,False,england,wfs_direct,ok,dataset-6fd0120f-d465-11e4-abee-f0def148f590:Source_Protection_Zones_Merged,,
WWNP Woodland Constraints,constraint,"leaky_barriers, woodland_planting",False,england,wfs_direct,ok,dataset-3a6edfe8-3d34-474e-ae35-397fd1f03541:WWNP_Woodland_Constraints,,
Agricultural Land Classification (ALC),supplementary,all,False,england,wfs_direct,ok,dataset-492f5119-3c59-4798-a3a0-3bc4ca589aec:Agricultural_Land_Classification_Grades_Post_1988_Survey_England,WFS URL confirmed via manual discovery — not discoverable via slug guessing or dataset-page scraping. Dataset GUID on data.gov.uk (c002ceea-...) differs from the WFS layer GUID (492f5119-...) — the two refer to the same dataset.,
Priority Habitat Area (Habitat Networks),supplementary,all,False,england,wfs_direct,ok,dataset-5e614b67-ccd0-4673-8ad8-adddf538125e:Habitat_Networks_Combined_Habitats_England,,
Soil Parent Material Model (1 km generalised),supplementary,all,False,gb,local_file,ok,"Polygon | 241,514 features | EPSG:unknown","BGS open data. 241,514 polygons, EPSG:27700. Shapefile (note the BGS filename has a typo: 'Materiall' with two L's — keep as supplied). This is the BGS 1 km GENERALISED product, not the full-resolution 50 m version. Adequate for catchment-scale priority scoring and dramatically faster to process; use full-res only if a Phase 1.5 request from Matt makes it relevant. Key attributes for infiltration-proxy scoring: SOIL_GROUP (LIGHT(SANDY) / MEDIUM / HEAVY), SOIL_TEX, PMM_GRAIN (COARSE / MEDIUM / FINE), ESB_DESC (parent material), SOIL_DEPTH. Phase 1.5 TODO: test BGS WFS at ogc.bgs.ac.uk for programmatic access.",
EA NbS Infiltration Class,supplementary,all,False,england,manual_download,page_ok,,"ArcGIS web app only; underlying REST service not publicly documented. Severn Trent do NOT hold this dataset — must be requested directly from the EA. BGS Groundwater Vulnerability Map is the licensed substitute, pending confirmation of commercial-use terms. Phase 1.5 TODO: raise formal EA data request.",
Recharge Prioritisation (HML),supplementary,all,False,england,arcgis_featureserver,ok,Recharge_Potential_Detailed_HML,"Primary attribute: PRIORITISATION (HIGH | MEDIUM | LOW). Additional attributes: EA_WB_ID, WATERBODY_NAME. Distinct from the EA Recharge Potential layer (1–5 CUMULATIVE field at soil-polygon scale) used in the original R model — that remains pending direct EA request. Use this as a waterbody-scale scoring signal.",
England Peat Map — Peaty Soil Extent,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,peaty_soil_extent_v1,Natural England / AI4Peat hub. OGL v3. Use as gating mask — restrict all peat restoration steps to features within this extent.,
England Peat Map — Peaty Soil Depth,opportunity,peat_restoration,True,england,arcgis_static_download,ok,geotiff ~475 MB,"OGL v3. England-wide 10 m raster. Pre-processing: scripts/preprocess_peat_depth.py -- download once, clip to STW AOI, compute polygon-level zonal stats (mean depth) against Peaty Soil Extent vector, write enriched vector with peat_depth_cm_mean attribute. Pipeline modules consume the enriched vector only -- no raster in src/.",
England Peat Map — Peaty Soil Depth Confidence,opportunity,peat_restoration,True,england,arcgis_static_download,ok,geotiff,Sibling raster to Peaty Soil Depth on same ArcGIS Online org. Same pre-processing pattern as Depth: extend scripts/preprocess_peat_depth.py to also compute mean confidence (peat_depth_confidence_rmse_mean) per polygon.,
England Peat Map — Bare Peaty Soil,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,"8 BGZ layers: 13, 11, 6, 5, 4","[bgz_tiled layers: [1, 2, 3, 4, 5, 6, 11, 13]] Service is tiled by Biogeographical Zone (BGZ). Query all BGZ layers and concatenate results for national coverage. BGZ layer IDs confirmed: 1,2,3,4,5,6,11,13.",
England Peat Map — Upland Grips,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,Upland Peat Erosion and Drainage Grips,Grips are drainage ditches cut into peat -- their presence indicates artificial drainage requiring restoration.,
England Peat Map — Upland Gullies,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,Upland Peat Erosion and Drainage Gullies,,
England Peat Map — Upland Haggs,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,Upland Peat Erosion and Drainage Haggs,,
England Peat Map — Vegetation and Land Cover on Peaty Soils,opportunity,peat_restoration,True,england,arcgis_featureserver,ok,"14 BGZ layers: 14, 13, 12, 11, 10","[bgz_tiled layers: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]] [derived_uses: step2_dry_degraded_inclusion, step3_wet_bog_exclusion] Service is tiled by Biogeographical Zone (BGZ) -- query all 14 layers and concatenate for national coverage. Same single layer drives two pipeline roles via derived_uses. TODO: define DRY_PEAT_VEG_CLASSES (heather-dominated, agricultural use) and WET_BOG_VEG_CLASSES (sphagnum-dominated, intact blanket bog) from Natural England's vegetation classification scheme.",
"England Peat Map — Status, GHG and Carbon Storage",supplementary,peat_restoration,True,england,arcgis_featureserver,ok,England Peat Status GHG and C storage © BGS & NSRI,"Also available at environment.data.gov.uk/arcgis/rest/services/NE/EnglandPeatStatusGreenhouseGasandCarbonStorage/FeatureServer -- same data, two hosting locations. Use NE hub URL for consistency. Feeds Peatland Code-aligned carbon-credit scoring; downstream scoring logic is out of scope for Phase 1.",
England Peat Map — Grip Dams,supplementary,peat_restoration,True,england,arcgis_featureserver,ok,Upland Peat Erosion and Drainage Grip Dams,Grip dams are dams installed in drainage grips to block drainage and re-wet peat. Retained as a reference/contextual layer -- useful for mapping active restoration activity in the STW area but not encoded as a pipeline exclusion rule. Layer index 1 (not 0) -- confirmed by service directory listing.,
Moorland Deep Peat Action Programme Status (England),supplementary,peat_restoration,True,england,arcgis_featureserver,ok,Moorland Deep Peat AP Status (England) © BGS & NSRI,"Formal programme boundary layer -- useful for contextual reporting on how much of the STW peat restoration opportunity overlaps with Defra programme areas. Retained as reference data, not a pipeline exclusion.",
